id,level1_state0_dur,level1_state1_dur,level1_state2_dur,level2_state0_dur,level2_state1_dur,level2_state2_dur,level3_state0_dur,level3_state1_dur,level3_state2_dur,level4_state0_dur,level4_state1_dur,level4_state2_dur,level5_state0_dur,level5_state1_dur,level5_state2_dur,level6_state0_dur,level6_state1_dur,level6_state2_dur,level7_state0_dur,level7_state1_dur,level7_state2_dur,level8_state0_dur,level8_state1_dur,level8_state2_dur,level9_state0_dur,level9_state1_dur,level9_state2_dur,level10_state0_dur,level10_state1_dur,level10_state2_dur,level11_state0_dur,level11_state1_dur,level11_state2_dur
14307,6264,0,7990,6349,0,10999,9550,0,7991,18444,9998,7993,19363,9982,8007,18054,9997,7990,6587,0,7992,9384,7992,7992,10553,7991,7991,10551,7994,7992,10190,0,7991
14309,6264,0,7991,6350,0,10998,9552,0,7976,18447,9997,8006,19281,9913,7992,18039,9998,7991,6599,0,7991,9370,7991,7992,10539,7991,7824,10451,7908,7992,10173,0,7991
14313,6168,0,7987,6348,0,10985,9529,0,8000,18489,9999,7998,19376,9986,7999,18054,9986,8000,6581,0,8001,9334,7860,7987,10554,7999,8000,10556,7984,7986,10194,0,7999
14315,6261,0,7986,6361,0,10986,9555,0,8001,18429,9985,8002,19359,9986,8001,18066,9987,8000,6596,0,7987,9375,7999,8000,10569,7999,7987,10486,7944,7999,10206,0,7988
14318,6263,0,7999,6334,0,10998,9556,0,7999,18456,10000,7986,19372,9987,7986,18040,10001,7999,6598,0,8001,9373,7999,8000,10543,7986,8000,10567,8000,7986,10205,0,7987
14319,5749,0,5444,1114,0,10177,8938,0,7797,17251,8451,7991,19338,9995,7993,18058,9998,7992,6542,0,7993,9133,7936,7991,10538,7978,7421,9967,7990,7991,10191,0,7991
14322,6252,0,7991,6364,0,10984,9552,0,7992,18433,9983,8004,19352,9995,7991,18044,9996,7994,6585,0,7991,9370,7991,7993,10540,7989,7992,10541,7991,7992,10189,0,7992
14323,6277,0,7994,6351,0,10998,9537,0,7965,18446,9997,7992,19351,9997,7991,17892,9956,7990,6585,0,7992,9368,7993,7992,10412,7993,7992,10564,7991,7995,10190,0,7992
14324,6262,0,7993,6349,0,10998,9550,0,7992,18447,9997,7991,19324,9997,7991,18056,9994,7993,6529,0,7992,9369,7992,7991,10537,7992,7993,10577,7993,7995,10189,0,7993
14326,6264,0,7991,6348,0,10930,9563,0,7993,18460,9983,7993,19350,10001,7992,18042,9996,7993,6585,0,7991,9356,7993,7992,10554,7991,7991,10540,7992,7992,10191,0,7991
14332,6264,0,7991,6348,0,10999,9536,0,7993,18447,9997,7991,19367,10000,7992,17999,9997,7991,6597,0,7992,9368,7992,7990,10499,7935,7990,10541,7991,7990,10191,0,7990
14333,6246,0,7992,6348,0,10987,9551,0,7991,18445,9888,7991,19324,9900,7991,18043,9996,7963,6557,0,7992,9371,7990,7992,10568,7991,7992,10455,7727,7994,10191,0,7921
14334,6262,0,7992,6350,0,10984,9537,0,7992,18435,9982,8007,19366,9987,7991,18069,9998,7993,6584,0,7992,9355,7991,7991,9926,7979,7476,10540,7977,6919,9899,0,7978
14335,5261,0,7991,6349,0,10998,9538,0,7992,18449,9996,7990,19102,9732,7993,18027,9983,7978,6597,0,7992,9369,7992,7991,10553,7992,7993,10537,7993,7992,10191,0,7992
14336,6249,0,8000,6361,0,10986,9555,0,8000,18431,10001,8000,19346,9945,8000,17984,9933,7916,6611,0,7999,9388,7987,7999,10569,8002,8000,10568,7987,8000,10193,0,7985
14337,6277,0,7990,6363,0,10999,9537,0,7992,18434,9997,7992,19366,9996,7991,18068,9997,7991,6585,0,7991,9356,8005,7991,10553,7992,7992,10540,8005,7990,10191,0,7991
14339,6251,0,7977,6238,0,10998,9539,0,7992,18446,9997,7992,19320,9995,7990,17987,9955,7964,6529,0,7992,9368,7992,7992,10538,7993,7992,10538,7992,8005,10192,0,7991
14340,6264,0,7992,6347,0,11000,9551,0,7992,18434,9995,7992,19336,9997,7991,18058,9995,7990,6585,0,7993,9382,7992,7992,10540,7989,7992,10524,7895,7992,10191,0,7991
14342,6277,0,7991,6250,0,10958,9469,0,7990,18419,9999,7923,19281,9996,7894,17819,9956,8007,6581,0,7992,9244,7993,7964,10387,7908,7935,9593,7212,7949,10191,0,7992
14343,6191,0,7824,6348,0,10959,9398,0,7712,16820,9051,6043,12712,7936,6070,16480,8995,7922,6530,0,7950,6640,5930,5110,5861,6293,5192,7769,3466,7952,8435,0,6487
14346,6261,0,7991,6348,0,10999,9537,0,7992,18431,9985,7993,19250,9942,7994,18072,9969,7992,6584,0,7991,9356,7923,7992,10565,7991,7965,10481,7992,7994,10190,0,7881
14347,6248,0,8000,6346,0,10971,9554,0,7986,18471,9985,8000,19376,9986,7986,18069,9988,7987,6582,0,8000,9359,8001,7986,10553,8001,8002,10553,8000,7988,10194,0,7999
14348,6264,0,7991,6350,0,10998,9536,0,7992,18460,9981,7993,19349,9999,7991,18053,10000,7991,6599,0,7992,9367,7992,7993,10564,7992,7993,10537,7992,7993,10191,0,7992
14349,6262,0,7991,6350,0,10998,9548,0,7993,18445,9998,7993,19338,9996,7991,18069,9999,7993,6584,0,7992,9371,7991,7992,10483,7978,7992,10549,7994,7991,10191,0,7992
14351,6262,0,7992,6348,0,10999,9537,0,7992,18443,9997,7993,19210,9830,7993,17932,9885,7992,6598,0,7991,9371,7992,7991,10550,7993,7992,10538,7992,7992,10193,0,7991
14352,6167,0,7992,6348,0,10998,9551,0,7991,18432,9983,7992,19352,9998,7990,18042,9999,7992,6584,0,7991,9355,7993,7991,10553,7992,7991,10539,7993,7991,10204,0,7991
14353,6262,0,7990,6350,0,10998,9537,0,7991,18448,9968,8005,19339,9995,7991,18072,9992,7992,6584,0,7993,9370,7993,7992,10552,7991,7992,10525,7909,8006,10189,0,7992
14354,6263,0,8005,6349,0,10997,9551,0,7991,18437,9998,7992,19323,9997,7993,17878,9970,7991,6585,0,7991,9357,7992,7991,10523,7923,7994,10537,7992,7853,10190,0,7991
14355,6263,0,7935,6322,0,10999,9538,0,7991,18459,9997,7992,19323,9995,7978,18069,9996,7993,6587,0,7989,9368,7992,7993,10538,7992,7991,10553,7992,7991,10191,0,7992
14358,6261,0,7999,6361,0,10999,9541,0,7988,18473,10001,8002,19387,9972,7987,18054,10001,8000,6610,0,7999,9374,7999,8000,10554,7988,7998,10540,8001,7999,10193,0,7999
14359,6275,0,7985,6347,0,10985,9541,0,7986,18451,9985,7987,19344,10002,8000,18040,9999,8000,6597,0,7987,9372,8000,8002,10554,7985,7987,10555,7999,7999,10180,0,8000
14361,6276,0,7992,6362,0,10998,9550,0,7992,18430,9999,7991,19327,9998,7993,18056,9997,7992,6598,0,7991,9370,7991,7991,10537,7993,7980,10539,7992,7992,10191,0,7991
14362,6250,0,7971,6264,0,10999,9555,0,7985,18417,9987,7999,19375,9984,8000,18069,9987,7999,6583,0,7929,9293,7972,7999,10556,7999,8001,10554,8000,8000,10207,0,7986
14363,6275,0,8000,6346,0,10999,9542,0,7943,18371,9974,8001,19291,9997,7916,17999,9971,8000,6583,0,7999,9375,8000,7945,10360,7876,7999,10430,7999,7999,10207,0,7987
